id,WallOffset,Xaxis,Yaxis,AVG_Lux,W01,W02,W03
15573,1.2,9.951446,-143.257491,233.385,10.015673,9.993204,10.193113
15574,1.2,7.031096,-143.257491,227.441,7.117123,7.085468,7.365031
15575,1.2,4.110747,-143.257491,425.581,4.248535,4.195291,4.652386
15576,1.2,1.190397,-143.257491,1352.325833,1.582258,1.433166,2.47034
15577,1.2,15.792144,-142.05721,1146.015833,15.814088,15.913411,16.151289
15578,1.2,12.871795,-142.05721,375.879,12.896176,13.017781,13.307686
15579,1.2,9.951446,-142.05721,219.259,9.97969,10.136344,10.506272
15580,1.2,7.031096,-142.05721,222.749,7.066395,7.28596,7.792681
15581,1.2,4.110747,-142.05721,373.841,4.162998,4.525684,5.303478
15582,1.2,1.190397,-142.05721,1120.601667,1.335682,2.221557,3.547502
15583,1.3,15.692144,-145.558053,1106.541333,16.033938,15.803035,15.711811
15584,1.3,12.811795,-145.558053,389.433333,13.225787,12.94489,12.833535
15585,1.3,9.931446,-145.558053,219.652667,10.456985,10.09937,9.956458
